Category,Event Name,City,State,Attendance,Exhibitors,Date,Description
Food & Hospitality,Wine & Cheese Faire 2020,Clarksburg,California,-,-,Aug 9 - Aug 10,Food & Beverage Show
RV & Motor Show,"Adventure Van Expo Dillon - August 10-11, 2020",Dillon,Colorado,-,-,Aug 10 - Aug 11,RV Show
Food & Hospitality,National Hamburger Festival 2020,Akron,Ohio,-,-,Aug 11 - Aug 12,"The 10th National Hamburger Festival 2015 celebrates the invention of the hamburger. Back in 1885, Frank and Charles Menches of Akron, Ohio were working as traveling concessionaires. Their travels took them to the Erie County Fair in Western New York, where the brothers came up with the idea to put some ground beef between two pieces of bread. The rest is history. Every year, hamburger afficiandos converge on Akron, Ohio for a real smorgasboard The National Hamburger Festival marks its 9th anniversary of serving as the national celebration of the hamburger. Each year over 20,000 hamburger fans have enjoyed family fun, great entertainment and one of the largest assortments of hamburgers ever assembled in one place. The Food Network filmed the festival for a segment on their hit show ""Unwrapped."""
Animal & Pets,Bluegrass Festival Horse Show,Lexington-Fayette,Kentucky,-,-,Aug 11 - Aug 16,Horse & Pet Show
State Fair,Iowa State Fair 2020,Des Moines,Iowa,"11,00,000",-,Aug 13 - Aug 23,"Amazingly Amusing! Ladies and gentleman, boys and girls - come one, come all to the greatest state fair in our fair state. Enjoy the unparalleled grandeur - full of amazing things to see and amusing things to do. Witness jaw-dropping entertainment and fantastic talent, enjoy astonishing culinary marvels on-a-stick and experience the matchless wonder that is the 2020 Iowa State Fair.

Happiness is the Iowa State Fair!

Smile. Whether it's the happiness of a day at fair with your family or winning a ribbon, enjoying your favorite bands or snacking on your favorite food on a stick, nothing compares to the Iowa State Fair.

The internationally acclaimed Iowa State Fair is the single largest event in the state of Iowa and one of the oldest and largest agricultural and industrial expositions in the country. Annually attracting more than a million people from all over the world, the Iowa State Fair in Des Moines is Iowa?s great celebration, a salute to the state?s best in agriculture, industry, entertainment and achievement. It is the true heartbeat of the Midwest, unequaled and unduplicated.

The Iowa State Fair, the inspiration for the original novel ""State Fair"" by Iowan Phil Stong, three motion pictures and Rodgers and Hammerstein?s Broadway musical, is without a doubt the country?s most famous state fair.

Looking for something special at the Iowa State Fair?  A certain type of food you enjoy?  A specific product you want to learn more about? A favorite exhibit you want to share with your family? Nothing compares to the range of vendors and exhibitors you?ll find at the Iowa State Fair.

Exhibitor Information:

The Iowa State Fair is the state?s largest event, making it a desirable spot for businesses to exhibit.  Companies can get involved by either renting space on the grounds or by partnering with the Fair?s sponsorship program.

Put The State Fair In Your Marketing Mix!

Exhibiting at the Iowa State Fair offers you an unequaled opportunity to make direct, person-to-person contact with prospects on all levels. No other single event in the state offers you as much potential as the Fair because no other event attracts as many people... more than a million. Exhibit areas are traditionally one of the most popular attractions of the Fair. Most visitors make it a point to find out what's new, interesting and innovative in the agricultural, industrial and commercial areas.

-"
State Fair,Missouri State Fair 2020,Sedalia,Missouri,"3,50,000",-,Aug 13 - Aug 23,"Visit the Fair's website, www.mostatefair.com, for the most up-to-date, comprehensive information about the 2020 event. Since the first Fair in 1901, thousands of Missouri families have made the annual ?pilgrimage? to Sedalia. Despite numerous differences, the Fair exhibitors of 1901 and today share an important common element. That common denominator is competition - the desire to put your efforts against your neighbor?s best.

Since the first State Fair, the reward has been ribbons, premium money and recognition. But the long-term effect of this healthy competition has been a steady improvement in Missouri?s agriculture, agribusiness, domestic arts and, today, even fine arts.

From 1901 to today, the Missouri State Fair has been a barometer of the state?s economic health and a documentary of the history of Missouri agriculture. The Missouri State Fair plays an essential role in keeping agriculture one of Missouri?s top industries.

Prepare to be entertained by the best show-offs in the state from livestock to competitive exhibitors and the amazing free professional entertainment package. The 2020 Missouri State Fair will be the premier summer event of the year that you don't want to miss!

The Missouri State Fair is among the state's oldest and most tradition-rich events for summer family fun. 2020 marks the 118th Missouri State Fair, and we welcome all Missourians to join us for an exciting season."
"Literary, Books & Writers",2020 Writer?s Digest Conference,New York,New York,-,-,Aug 13 - Aug 16,Book Show
Air & Water Shows,Arlington Fly-In 2020,Arlington,Washington,-,-,Aug 14 - Aug 16,Air Show
Boat Show,16th Annual Wooden Boat Show & Waterfront Festival 2020,Toledo,Oregon,-,-,Aug 15 - Aug 16,Boat Show
"Literary, Books & Writers",2020 Mississippi Book Festival,Jackson,Mississippi,-,-,Aug 15 - Aug 15,Book Show
Food & Hospitality,"2020 Crab, Wine & Beer Festival - District of Columbia",Washington,DC,-,-,Aug 15 - Aug 15,Food & Beverage Show
Food & Hospitality,Fairfield Tomato Festival August 2020,Fairfield,California,-,-,Aug 15 - Aug 16,Food & Beverage Show
Food & Hospitality,Harvest Grape Stomp,Clermont,Florida,-,-,Aug 15 - Aug 16,Food & Beverage Show
Food & Hospitality,Milford Oyster Festival,Milford,Connecticut,-,-,Aug 15 - Aug 15,Food & Beverage Show
Food & Hospitality,2020 Round Valley Blackberry Festival,Covelo,California,-,-,Aug 15 - Aug 16,Food & Beverage Show
Animal & Pets,Summer Finale - Spotted Valley Appaloosa,Burbank,California,-,-,Aug 15 - Aug 16,Horse & Pet Show
Animal & Pets,Adventure Van Expo Mt. Hood - August 2020,Mount Hood,Oregon,-,-,Aug 15 - Aug 16,Horse & Pet Show
Air & Water Shows,Chicago Air & Water Show 2020,Chicago,Illinois,-,-,Aug 15 - Aug 16,"The 57th Annual Chicago Air & Water Show

Presented by Shell and the City of Chicago, the Air and Water Show celebrates 57 years of daredevil thrills in the air and on the water at North Avenue Beach and along Chicago?s magnificent lakefront on Lake Michigan. With Chicago's Skyline as a backdrop, audience numbers reach 2 million annually making the Chicago Air & Water Show the largest FREE admission air and water exhibition of its kind in the United States. Over the years the show has featured some of the top civilian and military pilots and aircraft. Biennially, the U.S. Navy Blue Angels and the U.S. Air Force Thunderbirds headline along with the U.S. Army Parachute Team Golden Knights and the U.S. Navy Leap Frogs.

The Chicago Air & Water Show is conducted in an extremely safe and conscientious way. Safety precautions are taken at all times before, during and after the show. Planes take off and land at the Gary/Chicago International Airport in Gary, Indiana. All pilots perform stunts over the water in a set safety area. When a plane does fly over buildings, it is merely doing so in its flight path to return to the show area or the airport."
Air & Water Shows,Props and Pistons Festival,Akron,Ohio,-,-,Aug 15 - Aug 16,Air Show
Animal & Pets,KHJA Horse Show,Lexington-Fayette,Kentucky,-,-,Aug 19 - Aug 23,Horse & Pet Show
State Fair,Kentucky State Fair 2020,Louisville,Kentucky,"6,00,000",-,Aug 20 - Aug 30,"This year, watch for the 113th annual Kentucky State Fair to kick off on  August 20 and continue until August 30, 2020 ... celebrating everything Kentucky!

First organized in 1816, the fair didn't become an official one until 1902 and, after traveling from city to city for several years, settled in Louisville where today the fair has found a permanent home at the mammoth 520-acre Kentucky Exposition Center.

As in past years, the fair's huge popularity is expected to draw some 600,000 visitors during the fair's traditional two-week run in August.

The Kentucky State Fair features spectacular roller coaster rides and other amusement park attractions, along with lots of fried foods and regional specialties.

While Kentucky is most famous for fried chicken, Kentucky bourbon, bluegrass music, and baseball bats, also don't miss the opportunity to take in the fair's major attraction - the World Championship Horse Show - where 2,000 elite saddlebreds from across the state and around the world compete for millions of dollars in prizes."
"Literary, Books & Writers",Wizard World Comic Con - Chicago 2020,Rosemont,Illinois,-,-,Aug 20 - Aug 23,"Event Overview:

The Best in Pop Culture Reaching Fans of All Ages! 
Celebrities, Movies, TV, Comics, Animation, Video Gaming, Toys, Games,
Original Art, Collectibles, Horror, Wrestling, Anime, Manga, Contests & More!

Join tens of thousands of fellow fans as they converge on the America?s Center at St. Louis Comic Con to celebrate the best in pop culture. St. Louis Comic Con brings it all - Movies, Comics, Toys, Video Gaming, Games, TV, Graphic Novels, Horror, Wrestling, MMA, Original Art, Collectibles, Anime, Manga & More! St. Louis Comic Con is brought to you by the group who produces the most widely attended Comic Con tour!

About Wizard World:

Wizard World, Inc. produces Comic Cons and pop culture conventions across North America that celebrate graphic novels, comic books, movies, TV shows, gaming, technology, toys and social networking. The events often feature celebrities from movies and TV, artists and writers, and events such as premiers, gaming tournaments, panels, and costume contests."
"Literary, Books & Writers",2020 Book Passage Travel Writers and Photographers Conference,Corte Madera,California,-,-,Aug 20 - Aug 23,Book Show
"Literary, Books & Writers",Killer Nashville?s 15th Annual 2020 Writers? Conference,Franklin,Tennessee,-,-,Aug 20 - Aug 23,Book Show
Animal & Pets,Cool August Nights Dressage Show - Markel Amateur Finals & Young Horse Challenge,Burbank,California,-,-,Aug 20 - Aug 23,Horse & Pet Show
Air & Water Shows,2020 D-Day Conneaut - WWII reenactment,Conneaut,Ohio,-,-,Aug 20 - Aug 22,Air Show
"Art, Craft & Collectibles",Antelope Valley Home Show 2020,Lancaster,California,-,-,Aug 21 - Aug 30,Home Show
"Art, Craft & Collectibles","Sugarloaf Crafts Festival Chantilly, VA",Chantilly,Virginia,-,-,Aug 21 - Aug 23,"Each of the 11 annual Sugarloaf festivals is about immersing independent artisans, collectors and enthusiasts alike in the artistic community, creating an atmosphere and experience unlike any other. People of all ages and backgrounds are brought together by their shared interest in arts, crafts and design. The result is a festival that is consistently ranked in the top-50 craft shows in the world, with something to offer for people of all ages.

The 200 to 450 emerging and established artisans that make up a Sugarloaf Crafts Festival are all carefully curated and juried to highlight skill, quality, creativity and design, and all items are handmade with the finest care. High quality contemporary jewelry, pottery, forged metal, textiles and more are available for both everyday use and special occasions. Furthermore, all artisans are in attendance at every show to meet old and new fans, tell their stories and build relationships.  It?s no wonder that Sugarloaf festivals have helped launch the entrepreneurial careers of more than 100,000 artists and craftspeople. With unique items available for all interests, tastes and price points, everyone will leave a festival happy.

But the amazing art and craft selection isn?t all you?ll find at a Sugarloaf festival. Each three-day event also features a variety of live art demonstrations and hands-on workshops, giving the public a taste of the process that goes into some of the finished products they?ve seen. Past demonstrations have included live stoneware art, sculpting and glass blowing. Sugarloaf also brings in some of the best local and regional jazz and folk musicians, along with popular children?s entertainment. If you?re feeling hungry, you can choose from dozens of specialty food vendors, allowing you to stock up your pantry or enjoy an artisan dinner.

If you have a passion for fine arts and crafts, you owe to yourself to come to a Sugarloaf Crafts Festival this season. Visit the Schedule section for more information about festival dates, locations, artists and tickets. Once you?ve been to one, you too will feel like a member of the Sugarloaf family!"
RV & Motor Show,"Adventure Van Expo Dillon - August 22-23, 2020",Dillon,Colorado,-,-,Aug 22 - Aug 23,RV Show
Air & Water Shows,Northeastern Pennsylvania Air Show,Avoca,Pennsylvania,-,-,Aug 22 - Aug 23,Air Show
Food & Hospitality,Toast To Tennessee Wine Festival 2020,Lebanon,Tennessee,-,-,Aug 25 - Aug 25,Food & Beverage Show
Air & Water Shows,Atlantic City Air Show - Thunder over the Boardwalk 2020,Atlantic City,New Jersey,-,-,Aug 26 - Aug 26,Air Show
State Fair,Minnesota State Fair 2020,St. Paul,Minnesota,"1,800,000",-,Aug 27 - Sep 7,"Event Overview: Today, often referred to as the ""Great Minnesota Get-Together,"" the annual Minnesota State Fair is one of the most popular tourist destinations in the region. The fair attracts nearly 1.8 million guests annually.

Showcasing Minnesota?s agriculture, art and industry, the Minnesota State Fair strives to provide a world-class educational and entertaining experience, outstanding customer service and a safe, clean environment that is accessible to all."
Animal & Pets,4-H State Championship Show,Pueblo,Colorado,-,-,Aug 27 - Aug 30,Horse & Pet Show
State Fair,Colorado State Fair 2020,Pueblo,Colorado,-,-,Aug 28 - Sep 7,"Event Overview:

Colorado became a state in 1876 and before the Colorado flag flew high, the State Fair was already earning its place in history.

In 1869, approximately 2,000 people converged on what is now Pueblo for a horse exhibition; and from that meager beginning was born the Colorado State Fair.

The Fair continues to call Pueblo home, and in fact, has only cancelled once during its entire history. In 1917, during World War I, the Fairgrounds' horse stables and open space offered an ideal training facility for the Army National Guard.

Since then, the Colorado State Fair has developed into the largest summer event in the State and offers families a fun, educational summer vacation!"
Animal & Pets,Gold Coast Series Labor Day Hunter/Jumper Show,Burbank,California,-,-,Aug 28 - Aug 30,Horse & Pet Show
RV & Motor Show,Overland Expo Mountain West,Loveland,Colorado,-,-,Aug 28 - Aug 30,RV Show
Air & Water Shows,Airshow of the Cascades 2020,Madras,Oregon,-,-,Aug 28 - Aug 29,Air Show
"Art, Craft & Collectibles","Sugarloaf Crafts Festival Oaks, PA",Phoenixville,Pennsylvania,-,-,Aug 28 - Aug 30,"Each of the 11 annual Sugarloaf festivals is about immersing independent artisans, collectors and enthusiasts alike in the artistic community, creating an atmosphere and experience unlike any other. People of all ages and backgrounds are brought together by their shared interest in arts, crafts and design. The result is a festival that is consistently ranked in the top-50 craft shows in the world, with something to offer for people of all ages.

The 200 to 450 emerging and established artisans that make up a Sugarloaf Crafts Festival are all carefully curated and juried to highlight skill, quality, creativity and design, and all items are handmade with the finest care. High quality contemporary jewelry, pottery, forged metal, textiles and more are available for both everyday use and special occasions. Furthermore, all artisans are in attendance at every show to meet old and new fans, tell their stories and build relationships.  It?s no wonder that Sugarloaf festivals have helped launch the entrepreneurial careers of more than 100,000 artists and craftspeople. With unique items available for all interests, tastes and price points, everyone will leave a festival happy.

But the amazing art and craft selection isn?t all you?ll find at a Sugarloaf festival. Each three-day event also features a variety of live art demonstrations and hands-on workshops, giving the public a taste of the process that goes into some of the finished products they?ve seen. Past demonstrations have included live stoneware art, sculpting and glass blowing. Sugarloaf also brings in some of the best local and regional jazz and folk musicians, along with popular children?s entertainment. If you?re feeling hungry, you can choose from dozens of specialty food vendors, allowing you to stock up your pantry or enjoy an artisan dinner.

If you have a passion for fine arts and crafts, you owe to yourself to come to a Sugarloaf Crafts Festival this season. Visit the Schedule section for more information about festival dates, locations, artists and tickets. Once you?ve been to one, you too will feel like a member of the Sugarloaf family!"
"Literary, Books & Writers",National Book Festival 2020,Washington,DC,-,-,Aug 29 - Aug 29,"Event Overview:

The 16th Library of Congress National Book Festival once again will bring the nation's best authors, poets and illustrators to Washington to discuss their work and meet their fans.

The Library of Congress National Book Festival is an annual literary event that brings together best-selling authors and thousands of book fans for author talks, panel discussions, book signings and other activities. Over its 16-year history, the National Book Festival has become one of the pre-eminent literary events in the United States."
Food & Hospitality,Around the World Cultural Food Festival 2020,Washington,DC,-,-,Aug 29 - Aug 29,Food & Beverage Show
Animal & Pets,Draft Pull,Pueblo,Colorado,-,-,Aug 29 - Aug 30,Horse & Pet Show
Air & Water Shows,Air Show '20 Mattoon,Mattoon,Illinois,-,-,Aug 29 - Aug 29,Air Show
Air & Water Shows,New York Air Show,New Windsor,New York,-,-,Aug 29 - Aug 30,Air Show
Animal & Pets,AQHA Ranch Versatility & Clinic,Pueblo,Colorado,-,-,Aug 31 - Sep 2,Horse & Pet Show
Food & Hospitality,Flavor Palm Beach,Palm Beach,Florida,-,-,Sep 1 - Sep 30,Food & Beverage Show
Food & Hospitality,Boca Raton Restaurant Month 2020,Boca Raton,Florida,-,-,Sep 1 - Sep 30,Food & Beverage Show
Air & Water Shows,Best in the West Nugget Rib Cookoff 2020,Sparks,Nevada,-,-,Sep 2 - Sep 7,"Event Overview: Enjoy all-you-can-eat ribs, Enjoy all-you-can-eat ribs from every rib vendor at the Best in the West Nugget Rib Cook-Off! Your ticket to this barbecue-lovers' paradise also entitles you to delicious side dishes, dessert and all-you-can-responsibly drink beverages, including beer and wine. Your palette deserves this delicious journey, but tables are limited and sell quickly.

The Best in the West Nugget Rib Cook-Off is America?s biggest and best free-entry barbecue festival!

Admission, parking, shuttles and entertainment are always free!

What To Do

Kids' Area:
Children will delight in an array of rides and activities. Ride tickets will be available for purchase just outside of the kids? area.

Crafters? Crossing:
Enjoy shopping at the Crafters' Crossing at the Best in the West Nugget Rib Cook-Off. Vendors from all over the western region bring a variety of goods to sell at the event.

Mascot:
The Best in the West Nugget Rib Cook-Off?s famous mascot, Mr. Ribster will return to the event this year.

Beer Garden:
The Nugget Casino Resort is partnering with Budweiser and Morrey Distributing to bring a craft Beer Garden area to the rib cook-off. The Beer Garden will be located on Victorian Plaza, near the fountain. Enjoy select craft beers that were specially selected to pair well with delicious barbecue."
Food & Hospitality,National Hard Crab Derby,Crisfield,Maryland,-,-,Sep 2 - Sep 6,Food & Beverage Show
Food & Hospitality,Pig Out In The Park 2020,Spokane,Washington,-,-,Sep 2 - Sep 7,Food & Beverage Show
Animal & Pets,Zoetis AQHA Ranching Heritage Challenge,Pueblo,Colorado,-,-,Sep 2 - Sep 3,Horse & Pet Show
"Literary, Books & Writers",2020 Dragon Con,Atlanta,Georgia,-,-,Sep 3 - Sep 7,Book Show
Food & Hospitality,Key West Brewfest,Key West,Florida,-,-,Sep 3 - Sep 7,Food & Beverage Show
Animal & Pets,AQHA Ranch Riding,Pueblo,Colorado,-,-,Sep 3 - Sep 3,Horse & Pet Show
Retail & Wholesale,"Treasures of the Earth Gem, Mineral & Jewelry Show",Raleigh,North Carolina,-,-,Sep 4 - Sep 7,"Annual Labor Day Show

This show has something for everyone! Vendors from across the United States bring a variety of merchandise.  Their items include

14K and sterling silver, classic, estate, fashion and handmade jewelry
Wide selection of custom faceted gemstones, art jewelry
Loose stones, beads and beading supplies, pearls
Mineral specimens, rocks, fossils, crystals
Jewelers and wire wrappers who can design, remount and set stones and make repairs on site
Friday Noon-6pm, Saturday 10am-5pm, Sunday 10am-5pm, Monday 10am-4pm

Adults $6.00, 16 and under free

For admission discount coupon, visit www.TreasuresOfTheEarth.com"
"Bike, Car & Motorcycle",Thunder in the Rockies Motorcycle Rally 2020,Loveland,Colorado,-,-,Sep 4 - Sep 7,"Thunder in the Rockies Motorcycle Rally is a four-day action packed event always taking place on Labor Day Weekend Located in Loveland, Colorado, motorcycle enthusiasts and hardcore bikers from all over the country love this event! Over 45,000 people will enjoy Live music including local and national bands, Competitions, 100+ vendors and much, much more."
Food & Hospitality,Little Havana Food & Cultural Tour,Miami,Florida,-,-,Sep 4 - Sep 4,Food & Beverage Show
Animal & Pets,NRCHA and AQHA Event,Pueblo,Colorado,-,-,Sep 4 - Sep 7,Horse & Pet Show
Animal & Pets,Draft and Mule Challenge,Pueblo,Colorado,-,-,Sep 4 - Sep 4,Horse & Pet Show
Food & Hospitality,Garlic and Herb Festival,Bennington,Vermont,-,-,Sep 5 - Sep 6,Food & Beverage Show
Food & Hospitality,National Buffalo Wing Festival,Buffalo,New York,-,-,Sep 5 - Sep 6,Food & Beverage Show
Animal & Pets,Socal Peruvian Paso Horse Show,Burbank,California,-,-,Sep 5 - Sep 6,Horse & Pet Show
Animal & Pets,NRHA and AQHA Show,Pueblo,Colorado,-,-,Sep 5 - Sep 7,Horse & Pet Show
RV & Motor Show,Adventure Van Expo Lake Tahoe,South Lake Tahoe,California,-,-,Sep 5 - Sep 6,RV Show
Animal & Pets,Youth Freestyle Reining Championship,Pueblo,Colorado,-,-,Sep 6 - Sep 6,Horse & Pet Show
Food & Hospitality,Whiskies of the World,Dallas,Texas,500,200,Sep 9 - Sep 9,"Experience the world of whisky like you?ve never seen it before. As one of the largest whisky tasting events in the US, Whiskies of the World gathers over 200 of the most fascinating distilled spirits from around the globe, along with their makers and ambassadors, to give guests an unforgettable evening. The Expo will provide whisky tastings, whisky and food pairings, whisky and cigar pairings, and the chance to interact with outstanding whisky brands as well as fellow whisky enthusiasts. Join us September 20 in Austin, Texas! Guests must be 21 years or older to attend. Valid photo ID required.

 

Venue

Frontiers of Flight Museum
6911 Lemmon Avenue
Dallas, TX 75209"
"Bike, Car & Motorcycle",15th Annual Hot Springs Rally 2020,Hot Springs,Arkansas,-,-,Sep 10 - Sep 12,Motorcycle Show
State Fair,Kansas State Fair 2020,Hutchinson,Kansas,"330,000",600,Sep 11 - Sep 20,"Event Overview: The annual Kansas State Fair begins the Friday following Labor Day and lasts for 10 days at the Kansas State Fairgrounds in Hutchinson, Kansas.

The mission statement of the Fair is:

""To promote and showcase Kansas agriculture, industry and culture, to create opportunity for commercial activity, and to provide an educational and entertaining experience that is the pride of all Kansans.""

The largest single event in the State, the Fair annually attracts approximately 350,000 people from all 105 Kansas counties and several other states.

The Fair offers tremendous opportunities for commerce with over 1,000 commercial vendor locations; for competition, with close to 30,000 entries in various competitive exhibit departments; for education, through its Kansas' Largest Classroom field trip program; and for entertainment with strolling and stage entertainment in addition to the national acts performing at the Nex-Tech Wireless Grandstand.

In addition to the annual State Fair, the Fairgrounds' facilities are utilized throughout the year for a wide array of events, including horse and livestock shows, trade shows, flea markets, wedding receptions, family reunions, and company picnics, to name just a few.

THE KANSAS STATE FAIR welcomes everyone to its annual celebration of our great state.

Attendee Information:

THE KANSAS STATE FAIR BOARD is committed to making the Fair's campus accessible to all.

ASSISTED LISTENING DEVICES:  Portable Listening Devices are available for use at the Nex-Tech Wireless Grandstand and the Expo Center.  To request a Device, please call 620-669-3600 at least 48 hours prior to the event for which you are requesting.

During the ten days of the State Fair, a TDD/TTY device will be available in the Administration Building.  The number for this service is 800-766-3777.

FIRST AID:  The First Aid Station is located at the west end, south side, of the Administration Building. First Aid is open during the annual Kansas State Fair only.

NEX-TECH WIRELESS GRANDSTAND SEATING:  There are seats in the Nex-Tech Wireless Grandstand designated for our patrons with disabilities.  With the purchase of each seat for a patron with a disability, that patron is permitted the purchase of up to threecompanion seats.  If more than three companion seats are needed, please contact the ticket office.  For information on Nex-Tech Wireless Grandstand events, please call the Fair at 800-362-FAIR."
Air & Water Shows,Tennessee State Fair 2020,Nashville,Tennessee,"10,00,000",-,Sep 11 - Sep 20,State & Street Fairs
"Art, Craft & Collectibles",33rd Harvest Festival Original Art & Craft Show - Las Vegas 2020,Las Vegas,Nevada,"12,000",220,Sep 11 - Sep 13,"Now in our 46th year, the Harvest Festival? Original Art & Craft Show is known as one of the West Coast's premiere shows. See over 300 of the nation?s most talented artisans & shop thousands of American handmade arts & crafts. You will find beautiful wall art, sculptures, glasswork, metalwork, jewelry, clothing, specialty foods, photography, hand-turned wood, ceramics, unique home decor, and much more. The show also features demonstrating artists, live on-stage performance acts, great musical bands, strolling entertainers, as well as a KidZone area with arts, crafts, and activities for the little ones throughout the event!! We have an end-of-year Grand Prize Raffle Drawing, entries only available at the shows. Two (2) Daily 'Grab Bag' drawings for $50 in Harvey Bucks to be spent at the show; entry forms only available on our website! For more info, visit www.harvestfestival.com"
Food & Hospitality,Whiskies of the World,Austin,Texas,800,250,Sep 11 - Sep 11,"Experience the world of whisky like you?ve never seen it before. As one of the largest whisky tasting events in the US, Whiskies of the World gathers over 200 of the most fascinating distilled spirits from around the globe, along with their makers and ambassadors, to give guests an unforgettable evening. The Expo will provide whisky tastings, whisky and food pairings, whisky and cigar pairings, and the chance to interact with outstanding whisky brands as well as fellow whisky enthusiasts. Join us September 20 in Austin, Texas! Guests must be 21 years or older to attend. Valid photo ID required.

 

Venue:

Fair Market
1100 E. 5th ST.
Austin TX 78702"
"Literary, Books & Writers",2020 Southern Independent Booksellers Alliance Discovery Show,New Orleans,Louisiana,-,-,Sep 11 - Sep 13,Book Show
Food & Hospitality,Wine & Harvest Festival,Paw Paw,Michigan,-,-,Sep 11 - Sep 13,Food & Beverage Show
Food & Hospitality,Whiskies of the World,Houston,Texas,500,200,Sep 12 - Sep 12,"Experience the world of whisky like you?ve never seen it before. As one of the largest whisky tasting events in the US, Whiskies of the World gathers over 200 of the most fascinating distilled spirits from around the globe, along with their makers and ambassadors, to give guests an unforgettable evening. The Expo will provide whisky tastings, whisky and food pairings, whisky and cigar pairings, and the chance to interact with outstanding whisky brands as well as fellow whisky enthusiasts. Join us September 22 in Houston, Texas! Guests must be 21 years or older to attend. Valid photo ID required.

 

Venue:

Silver Street Studio
2000 Edwards St
Houston, TX 77007"
"Literary, Books & Writers",2020 Brooklyn Antiquarian Book Fair - 7th edition,Brooklyn,New York,-,-,Sep 12 - Sep 13,Book Show
Food & Hospitality,Hudson Valley Wine And Food Fest,Rhinebeck,New York,-,-,Sep 12 - Sep 13,Food & Beverage Show
